date,id,store_nbr,item_nbr,unit_sales,onpromotion,perishable,family,city,store_type,cluster,dcoilwtico,type,locale,locale_name,description,transferred,year,month,day,dayofweek,dayofyear,weekofyear,quarter,is_weekend,unit_sales_rolling_mean_7d,unit_sales_rolling_mean_14d,unit_sales_rolling_mean_30d
2014-02-11,18815575,51,463598,2.6390573296152584,0,0,0,0,0,17,99.96,-1,-1,-1,-1,-1,2014,2,11,1,42,7,1,0,,,
2014-03-16,20666547,36,1047735,2.0794415416798357,0,0,1,1,2,10,,-1,-1,-1,-1,-1,2014,3,16,6,75,11,1,1,,,
2014-03-02,19765988,36,502227,1.0986122886681098,0,0,2,1,2,10,,0,0,0,0,0,2014,3,2,6,61,9,1,1,,,
2014-03-30,21555790,26,557810,1.0986122886681098,0,0,2,0,3,10,,-1,-1,-1,-1,-1,2014,3,30,6,89,13,1,1,,,
2014-02-02,18362900,51,114790,2.9444389791664403,0,0,2,0,0,17,,-1,-1,-1,-1,-1,2014,2,2,6,33,5,1,1,,,
2014-02-20,19242599,34,1105214,0.6931471805599453,0,0,2,0,4,6,103.2,-1,-1,-1,-1,-1,2014,2,20,3,51,8,1,0,,,
2014-03-01,19698831,35,876663,3.258096538021482,0,0,2,2,1,3,,-1,-1,-1,-1,-1,2014,3,1,5,60,9,1,1,,,
2014-01-26,17908784,27,305227,1.3862943611198906,0,0,2,3,3,1,,-1,-1,-1,-1,-1,2014,1,26,6,26,4,1,1,,,
2014-02-28,19626354,24,155607,1.0986122886681098,0,0,2,0,3,1,102.88,-1,-1,-1,-1,-1,2014,2,28,4,59,9,1,0,,,
2014-02-22,19342641,36,1178696,2.0794415416798357,0,0,0,1,2,10,,-1,-1,-1,-1,-1,2014,2,22,5,53,8,1,1,,,
2014-03-02,19752983,24,1105214,1.0986122886681098,0,0,2,0,3,1,,0,0,0,0,0,2014,3,2,6,61,9,1,1,,,
2014-02-15,18990851,30,819932,4.02535169073515,0,0,1,0,1,3,,-1,-1,-1,-1,-1,2014,2,15,5,46,7,1,1,,,
2014-01-11,16973146,51,938575,0.6931471805599453,0,0,2,0,0,17,,-1,-1,-1,-1,-1,2014,1,11,5,11,2,1,1,,,
2014-03-18,20794295,35,1466049,0.6931471805599453,0,0,1,2,1,3,100.08,-1,-1,-1,-1,-1,2014,3,18,1,77,12,1,0,,,
2014-02-18,19145605,34,215303,1.9459101490553132,0,0,2,0,4,6,102.54,-1,-1,-1,-1,-1,2014,2,18,1,49,8,1,0,,,
2014-02-26,19532183,26,1044584,0.6931471805599453,0,0,1,0,3,10,102.93,-1,-1,-1,-1,-1,2014,2,26,2,57,9,1,0,,,
2014-02-20,19242569,34,1083517,1.0986122886681098,0,0,2,0,4,6,103.2,-1,-1,-1,-1,-1,2014,2,20,3,51,8,1,0,,,
2014-01-11,16949505,36,915980,1.0986122886681098,0,0,1,1,2,10,,-1,-1,-1,-1,-1,2014,1,11,5,11,2,1,1,,,
2014-03-27,21363399,30,1024976,1.0986122886681098,0,0,0,0,1,3,101.25,-1,-1,-1,-1,-1,2014,3,27,3,86,13,1,0,,,
2014-02-12,18841481,27,830625,1.6094379124341003,0,0,0,3,3,1,100.38,-1,-1,-1,-1,-1,2014,2,12,2,43,7,1,0,,,
2014-03-02,19755276,26,370042,2.5649493574615367,0,0,2,0,3,10,,0,0,0,0,0,2014,3,2,6,61,9,1,1,,,
2014-01-12,17039795,51,372924,2.302585092994046,0,0,2,0,0,17,,-1,-1,-1,-1,-1,2014,1,12,6,12,2,1,1,,,
2014-02-03,18396804,36,115893,1.791759469228055,0,0,2,1,2,10,96.44,-1,-1,-1,-1,-1,2014,2,3,0,34,6,1,0,,,
2014-01-12,17013076,32,1464082,0.6931471805599453,0,0,1,0,1,3,,-1,-1,-1,-1,-1,2014,1,12,6,12,2,1,1,,,
2014-03-11,20340100,28,559682,1.3862943611198906,0,0,2,0,2,10,100.29,-1,-1,-1,-1,-1,2014,3,11,1,70,11,1,0,,,
2014-02-14,18944075,35,1057033,2.302585092994046,0,0,2,2,1,3,100.31,-1,-1,-1,-1,-1,2014,2,14,4,45,7,1,0,,,
2014-03-12,20400306,26,1141956,0.6931471805599453,0,0,2,0,3,10,98.29,-1,-1,-1,-1,-1,2014,3,12,2,71,11,1,0,,,
2014-03-18,20786389,27,1214325,2.3978952727983707,0,0,0,3,3,1,100.08,-1,-1,-1,-1,-1,2014,3,18,1,77,12,1,0,,,
2014-02-28,19627128,24,940591,2.0794415416798357,0,0,0,0,3,1,102.88,-1,-1,-1,-1,-1,2014,2,28,4,59,9,1,0,,,
2014-03-22,21039134,26,404336,1.3862943611198906,0,0,2,0,3,10,,-1,-1,-1,-1,-1,2014,3,22,5,81,12,1,1,,,
2014-01-13,17080902,35,421066,1.0986122886681098,0,0,2,2,1,3,91.45,-1,-1,-1,-1,-1,2014,1,13,0,13,3,1,0,,,
2014-01-29,18103701,32,938574,1.3862943611198906,0,0,2,0,1,3,97.34,-1,-1,-1,-1,-1,2014,1,29,2,29,5,1,0,,,
2014-03-29,21522360,51,376194,1.3862943611198906,0,0,2,0,0,17,,-1,-1,-1,-1,-1,2014,3,29,5,88,13,1,1,,,
2014-03-13,20464404,28,1009998,0.6931471805599453,0,0,0,0,2,10,98.57,-1,-1,-1,-1,-1,2014,3,13,3,72,11,1,0,,,
2014-03-25,21244483,36,759698,0.6931471805599453,0,0,1,1,2,10,99.66,-1,-1,-1,-1,-1,2014,3,25,1,84,13,1,0,,,
2014-02-02,18363435,51,664537,1.791759469228055,0,0,2,0,0,17,,-1,-1,-1,-1,-1,2014,2,2,6,33,5,1,1,,,
2014-03-21,20979224,32,329071,0.6931471805599453,0,0,2,0,1,3,99.97,-1,-1,-1,-1,-1,2014,3,21,4,80,12,1,0,,,
2014-03-16,20689923,51,1057034,2.6390573296152584,0,0,2,0,0,17,,-1,-1,-1,-1,-1,2014,3,16,6,75,11,1,1,,,
2014-01-16,17292600,51,559870,3.828641396489095,0,0,2,0,0,17,93.54,-1,-1,-1,-1,-1,2014,1,16,3,16,3,1,0,,,
2014-01-19,17462510,30,1047699,1.0986122886681098,0,0,1,0,1,3,,-1,-1,-1,-1,-1,2014,1,19,6,19,3,1,1,,,
2014-02-07,18591135,30,554049,0.6931471805599453,0,0,2,0,1,3,99.98,-1,-1,-1,-1,-1,2014,2,7,4,38,6,1,0,,,
2014-02-11,18798611,36,213066,0.6931471805599453,0,0,2,1,2,10,99.96,-1,-1,-1,-1,-1,2014,2,11,1,42,7,1,0,,,
2014-01-28,18037357,27,841842,2.3978952727983707,0,0,2,3,3,1,97.49,-1,-1,-1,-1,-1,2014,1,28,1,28,5,1,0,,,
2014-02-19,19190847,30,305237,1.6094379124341003,0,0,2,0,1,3,103.46,-1,-1,-1,-1,-1,2014,2,19,2,50,8,1,0,,,
2014-03-04,19882840,26,158789,1.3862943611198906,0,0,0,0,3,10,103.64,0,1,1,1,0,2014,3,4,1,63,10,1,0,,,
2014-03-29,21488489,26,1102976,0.6931471805599453,0,0,1,0,3,10,,-1,-1,-1,-1,-1,2014,3,29,5,88,13,1,1,,,
2014-01-15,17205227,34,165727,2.1972245773362196,0,0,2,0,4,6,93.78,-1,-1,-1,-1,-1,2014,1,15,2,15,3,1,0,,,
2014-01-12,17003412,24,619969,1.0986122886681098,0,0,2,0,3,1,,-1,-1,-1,-1,-1,2014,1,12,6,12,2,1,1,,,
2014-03-29,21491010,28,765518,1.9459101490553132,0,0,2,0,2,10,,-1,-1,-1,-1,-1,2014,3,29,5,88,13,1,1,,,
2014-01-05,16567371,36,409904,1.791759469228055,0,0,2,1,2,10,,-1,-1,-1,-1,-1,2014,1,5,6,5,1,1,1,,,
2014-02-04,18442561,30,246052,1.0986122886681098,0,0,2,0,1,3,97.24,-1,-1,-1,-1,-1,2014,2,4,1,35,6,1,0,,,
2014-03-16,20664155,34,804974,1.791759469228055,0,0,2,0,4,6,,-1,-1,-1,-1,-1,2014,3,16,6,75,11,1,1,,,
2014-03-10,20277789,28,771156,0.6931471805599453,0,0,0,0,2,10,101.39,-1,-1,-1,-1,-1,2014,3,10,0,69,11,1,0,,,
2014-03-26,21295309,24,1146785,1.3862943611198906,0,0,2,0,3,1,100.61,-1,-1,-1,-1,-1,2014,3,26,2,85,13,1,0,,,
2014-02-05,18490571,27,252970,2.4849066497880004,0,0,0,3,3,1,97.4,-1,-1,-1,-1,-1,2014,2,5,2,36,6,1,0,,,
2014-02-09,18694806,30,1178687,0.6931471805599453,0,0,2,0,1,3,,-1,-1,-1,-1,-1,2014,2,9,6,40,6,1,1,,,
2014-01-31,18232467,36,1134971,3.295836866004329,0,0,1,1,2,10,97.55,-1,-1,-1,-1,-1,2014,1,31,4,31,5,1,0,,,
2014-03-29,21494243,32,215352,1.3862943611198906,0,0,2,0,1,3,,-1,-1,-1,-1,-1,2014,3,29,5,88,13,1,1,,,
2014-01-20,17532029,34,401911,1.3862943611198906,0,0,0,0,4,6,93.96,-1,-1,-1,-1,-1,2014,1,20,0,20,4,1,0,,,
2014-01-20,17521835,24,580929,1.6094379124341003,0,0,2,0,3,1,93.96,-1,-1,-1,-1,-1,2014,1,20,0,20,4,1,0,,,
2014-02-12,18842679,28,1047755,2.6390573296152584,0,0,1,0,2,10,100.38,-1,-1,-1,-1,-1,2014,2,12,2,43,7,1,0,,,
2014-01-26,17917744,35,1089046,2.9444389791664403,0,0,0,2,1,3,,-1,-1,-1,-1,-1,2014,1,26,6,26,4,1,1,,,
2014-03-17,20727480,32,757888,0.6931471805599453,0,0,0,0,1,3,98.43,-1,-1,-1,-1,-1,2014,3,17,0,76,12,1,0,,,
2014-02-14,18961305,51,668754,1.3862943611198906,0,0,0,0,0,17,100.31,-1,-1,-1,-1,-1,2014,2,14,4,45,7,1,0,,,
2014-02-28,19637187,36,902839,1.3862943611198906,0,0,2,1,2,10,102.88,-1,-1,-1,-1,-1,2014,2,28,4,59,9,1,0,,,
2014-01-09,16808120,24,208498,1.6094379124341003,0,0,0,0,3,1,91.36,-1,-1,-1,-1,-1,2014,1,9,3,9,2,1,0,,,
2014-03-19,20851752,30,877513,1.6094379124341003,0,0,0,0,1,3,100.71,-1,-1,-1,-1,-1,2014,3,19,2,78,12,1,0,,,
2014-02-12,18841293,27,570917,0.6931471805599453,0,0,2,3,3,1,100.38,-1,-1,-1,-1,-1,2014,2,12,2,43,7,1,0,,,
2014-01-16,17268326,34,165594,2.772588722239781,0,0,2,0,4,6,93.54,-1,-1,-1,-1,-1,2014,1,16,3,16,3,1,0,,,
2014-02-22,19359967,51,567787,1.3862943611198906,0,0,2,0,0,17,,-1,-1,-1,-1,-1,2014,2,22,5,53,8,1,1,,,
2014-02-28,19630583,27,1178691,1.6094379124341003,0,0,0,3,3,1,102.88,-1,-1,-1,-1,-1,2014,2,28,4,59,9,1,0,,,
2014-02-22,19332208,24,838875,1.9459101490553132,0,0,2,0,3,1,,-1,-1,-1,-1,-1,2014,2,22,5,53,8,1,1,,,
2014-01-18,17424620,51,567750,0.6931471805599453,0,0,2,0,0,17,,-1,-1,-1,-1,-1,2014,1,18,5,18,3,1,1,,,
2014-02-02,18334031,24,414750,3.1780538303479458,0,0,2,0,3,1,,-1,-1,-1,-1,-1,2014,2,2,6,33,5,1,1,,,
2014-02-16,19041861,28,314881,1.3862943611198906,0,0,0,0,2,10,,-1,-1,-1,-1,-1,2014,2,16,6,47,7,1,1,,,
2014-01-22,17650852,26,522721,0.6931471805599453,0,0,0,0,3,10,96.35,-1,-1,-1,-1,-1,2014,1,22,2,22,4,1,0,,,
2014-02-11,18789367,24,414305,3.332204510175204,0,0,1,0,3,1,99.96,-1,-1,-1,-1,-1,2014,2,11,1,42,7,1,0,,,
2014-03-07,20080613,28,1109391,1.3862943611198906,0,0,2,0,2,10,102.82,-1,-1,-1,-1,-1,2014,3,7,4,66,10,1,0,,,
2014-03-06,20023203,36,308085,2.302585092994046,0,0,1,1,2,10,101.82,-1,-1,-1,-1,-1,2014,3,6,3,65,10,1,0,,,
2014-01-12,17003528,24,789224,3.044522437723423,0,0,0,0,3,1,,-1,-1,-1,-1,-1,2014,1,12,6,12,2,1,1,,,
2014-03-27,21366835,34,214859,2.5649493574615367,0,0,0,0,4,6,101.25,-1,-1,-1,-1,-1,2014,3,27,3,86,13,1,0,,,
2014-02-20,19239193,30,871421,1.3862943611198906,0,0,1,0,1,3,103.2,-1,-1,-1,-1,-1,2014,2,20,3,51,8,1,0,,,
2014-03-06,20015178,27,1463806,1.6094379124341003,0,0,1,3,3,1,101.82,-1,-1,-1,-1,-1,2014,3,6,3,65,10,1,0,,,
2014-02-10,18740225,24,407608,1.3862943611198906,0,0,0,0,3,1,100.12,-1,-1,-1,-1,-1,2014,2,10,0,41,7,1,0,,,
2014-03-07,20085818,34,1047773,3.2188758248682006,0,0,1,0,4,6,102.82,-1,-1,-1,-1,-1,2014,3,7,4,66,10,1,0,,,
2014-02-14,18943246,34,881701,0.6931471805599453,0,0,2,0,4,6,100.31,-1,-1,-1,-1,-1,2014,2,14,4,45,7,1,0,,,
2014-03-09,20211314,27,996537,0.6931471805599453,0,0,2,3,3,1,,-1,-1,-1,-1,-1,2014,3,9,6,68,10,1,1,,,
2014-01-25,17846624,32,554152,0.6931471805599453,0,0,2,0,1,3,,-1,-1,-1,-1,-1,2014,1,25,5,25,4,1,1,,,
2014-02-04,18441982,28,819194,1.3862943611198906,0,0,2,0,2,10,97.24,-1,-1,-1,-1,-1,2014,2,4,1,35,6,1,0,,,
2014-01-04,16489213,26,1064018,1.6094379124341003,0,0,2,0,3,10,,-1,-1,-1,-1,-1,2014,1,4,5,4,1,1,1,,,
2014-02-06,18545373,34,567623,1.3862943611198906,0,0,2,0,4,6,97.84,-1,-1,-1,-1,-1,2014,2,6,3,37,6,1,0,,,
2014-02-05,18492230,28,1036320,0.6931471805599453,0,0,0,0,2,10,97.4,-1,-1,-1,-1,-1,2014,2,5,2,36,6,1,0,,,
2014-01-25,17844519,30,841570,1.0986122886681098,0,0,2,0,1,3,,-1,-1,-1,-1,-1,2014,1,25,5,25,4,1,1,,,
2014-03-06,20017034,30,738219,0.6931471805599453,0,0,0,0,1,3,101.82,-1,-1,-1,-1,-1,2014,3,6,3,65,10,1,0,,,
2014-03-08,20146374,28,1166474,3.1354942159291497,0,0,1,0,2,10,,-1,-1,-1,-1,-1,2014,3,8,5,67,10,1,1,,,
2014-03-04,19886936,30,168931,2.1972245773362196,0,0,0,0,1,3,103.64,0,1,1,1,0,2014,3,4,1,63,10,1,0,,,
2014-03-12,20408962,35,1463881,2.0794415416798357,0,0,1,2,1,3,98.29,-1,-1,-1,-1,-1,2014,3,12,2,71,11,1,0,,,
2014-01-30,18189966,51,265237,2.5649493574615367,0,0,2,0,0,17,98.25,-1,-1,-1,-1,-1,2014,1,30,3,30,5,1,0,,,
2014-03-04,19915704,51,1047755,2.302585092994046,0,0,1,0,0,17,103.64,0,1,1,1,0,2014,3,4,1,63,10,1,0,,,
2014-03-11,20346254,35,123601,0.6931471805599453,0,0,2,2,1,3,100.29,-1,-1,-1,-1,-1,2014,3,11,1,70,11,1,0,,,
2014-02-26,19538167,34,1114914,0.6931471805599453,0,0,0,0,4,6,102.93,-1,-1,-1,-1,-1,2014,2,26,2,57,9,1,0,,,
2014-01-31,18228194,32,1009539,0.6931471805599453,0,0,2,0,1,3,97.55,-1,-1,-1,-1,-1,2014,1,31,4,31,5,1,0,,,
2014-02-27,19580257,26,1047690,1.3862943611198906,0,0,1,0,3,10,102.68,-1,-1,-1,-1,-1,2014,2,27,3,58,9,1,0,,,
2014-01-24,17782945,34,1146797,1.0986122886681098,0,0,2,0,4,6,96.66,-1,-1,-1,-1,-1,2014,1,24,4,24,4,1,0,,,
2014-03-25,21237770,28,1463881,3.8066624897703196,0,0,1,0,2,10,99.66,-1,-1,-1,-1,-1,2014,3,25,1,84,13,1,0,,,
2014-03-23,21110833,30,1463483,0.6931471805599453,0,0,1,0,1,3,,-1,-1,-1,-1,-1,2014,3,23,6,82,12,1,1,,,
2014-03-14,20526359,28,769314,1.3862943611198906,0,0,0,0,2,10,99.23,-1,-1,-1,-1,-1,2014,3,14,4,73,11,1,0,,,
2014-01-11,16948606,35,1136979,1.3862943611198906,0,0,2,2,1,3,,-1,-1,-1,-1,-1,2014,1,11,5,11,2,1,1,,,
2014-03-01,19687892,26,105574,2.6390573296152584,0,0,2,0,3,10,,-1,-1,-1,-1,-1,2014,3,1,5,60,9,1,1,,,
2014-02-20,19236082,26,215303,0.6931471805599453,0,0,2,0,3,10,103.2,-1,-1,-1,-1,-1,2014,2,20,3,51,8,1,0,,,
2014-03-08,20140859,24,1146799,1.3862943611198906,0,0,2,0,3,1,,-1,-1,-1,-1,-1,2014,3,8,5,67,10,1,1,,,
2014-01-16,17267011,32,1146795,1.6094379124341003,0,0,2,0,1,3,93.54,-1,-1,-1,-1,-1,2014,1,16,3,16,3,1,0,,,
2014-02-25,19488230,32,938576,1.3862943611198906,0,0,2,0,1,3,102.2,-1,-1,-1,-1,-1,2014,2,25,1,56,9,1,0,,,
2014-01-26,17917684,35,1012787,0.6931471805599453,0,0,2,2,1,3,,-1,-1,-1,-1,-1,2014,1,26,6,26,4,1,1,,,
2014-03-30,21558391,28,246052,1.0986122886681098,0,0,2,0,2,10,,-1,-1,-1,-1,-1,2014,3,30,6,89,13,1,1,,,
2014-03-30,21559444,28,1346643,1.6094379124341003,0,0,0,0,2,10,,-1,-1,-1,-1,-1,2014,3,30,6,89,13,1,1,,,
2014-03-15,20591736,28,1157329,3.367295829986474,0,0,2,0,2,10,,-1,-1,-1,-1,-1,2014,3,15,5,74,11,1,1,,,
2014-03-20,20912887,28,518094,1.3862943611198906,0,0,1,0,2,10,99.68,-1,-1,-1,-1,-1,2014,3,20,3,79,12,1,0,,,
2014-03-13,20459920,24,1464072,0.6931471805599453,0,0,1,0,3,1,98.57,-1,-1,-1,-1,-1,2014,3,13,3,72,11,1,0,,,
2014-03-10,20279185,30,1167544,0.6931471805599453,0,0,1,0,1,3,101.39,-1,-1,-1,-1,-1,2014,3,10,0,69,11,1,0,,,
2014-02-04,18443155,30,1159413,2.1972245773362196,0,0,2,0,1,3,97.24,-1,-1,-1,-1,-1,2014,2,4,1,35,6,1,0,,,
2014-03-28,21424204,28,305237,2.302585092994046,0,0,2,0,2,10,101.73,-1,-1,-1,-1,-1,2014,3,28,4,87,13,1,0,,,
2014-03-19,20879663,51,839362,3.6109179126442243,0,0,1,0,0,17,100.71,-1,-1,-1,-1,-1,2014,3,19,2,78,12,1,0,,,
2014-02-28,19626859,24,683723,1.3862943611198906,0,0,2,0,3,1,102.88,-1,-1,-1,-1,-1,2014,2,28,4,59,9,1,0,,,
2014-03-04,19893356,36,938566,3.58351893845611,0,0,2,1,2,10,103.64,0,1,1,1,0,2014,3,4,1,63,10,1,0,,,
2014-01-10,16870568,24,749421,1.6094379124341003,0,0,2,0,3,1,92.39,-1,-1,-1,-1,-1,2014,1,10,4,10,2,1,0,,,
2014-02-04,18441065,27,999547,1.791759469228055,0,0,0,3,3,1,97.24,-1,-1,-1,-1,-1,2014,2,4,1,35,6,1,0,,,
2014-01-17,17322150,24,1176558,1.0986122886681098,0,0,2,0,3,1,93.96,-1,-1,-1,-1,-1,2014,1,17,4,17,3,1,0,,,
2014-01-04,16490743,27,1177984,0.6931471805599453,0,0,2,3,3,1,,-1,-1,-1,-1,-1,2014,1,4,5,4,1,1,1,,,
2014-03-18,20784460,26,215327,1.0986122886681098,0,0,2,0,3,10,100.08,-1,-1,-1,-1,-1,2014,3,18,1,77,12,1,0,,,
2014-03-29,21498685,36,368140,2.772588722239781,0,0,2,1,2,10,,-1,-1,-1,-1,-1,2014,3,29,5,88,13,1,1,,,
2014-02-16,19046685,34,559872,2.0794415416798357,0,0,2,0,4,6,,-1,-1,-1,-1,-1,2014,2,16,6,47,7,1,1,,,
